match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2022-03-26,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",4.0,0,25,0,6.25,8,0,0
7,2022-03-31,Lucknow Super Giants,"Brabourne Stadium, Mumbai",2.0,0,21,0,10.5,3,0,0
11,2022-04-03,Punjab Kings,"Brabourne Stadium, Mumbai",4.0,0,34,1,8.5,10,3,0
17,2022-04-09,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",3.0,0,21,0,7.0,4,0,0
22,2022-04-12,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",4.0,0,39,3,9.75,10,0,0
29,2022-04-17,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",3.0,0,25,1,8.33,6,0,0
33,2022-04-21,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",4.0,0,30,0,7.5,8,0,0
38,2022-04-25,Punjab Kings,"Wankhede Stadium, Mumbai",2.0,0,18,0,9.0,1,2,0
46,2022-05-01,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",3.0,0,15,0,5.0,8,0,0
49,2022-05-04,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",4.0,0,20,0,5.0,6,0,0
