match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2025-03-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",11,7,2,0,157.14,c S Dube b R Ashwin,3
12,2025-03-31,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",16,17,0,1,94.12,c AM Rahane b AD Russell,3
16,2025-04-04,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5,7,0,0,71.43,c Ravi Bishnoi b Akash Deep,1
20,2025-04-07,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",22,18,2,1,122.22,c V Kohli b KH Pandya,3
29,2025-04-13,Delhi Capitals,"Arun Jaitley Stadium, Delhi",1,1,0,0,100.0,not out,7
33,2025-04-17,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",36,26,3,2,138.46,c Zeeshan Ansari b PJ Cummins,3
41,2025-04-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",22,19,2,1,115.79,c A Manohar b Zeeshan Ansari,3
45,2025-04-27,Lucknow Super Giants,"Wankhede Stadium, Mumbai",29,21,3,1,138.1,b Prince Yadav,3
56,2025-05-06,Gujarat Titans,"Wankhede Stadium, Mumbai",53,35,5,3,151.43,c B Sai Sudharsan b Rashid Khan,3
63,2025-05-21,Delhi Capitals,"Wankhede Stadium, Mumbai",21,13,3,1,161.54,c V Nigam b Mukesh Kumar,3
69,2025-05-26,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",17,8,2,1,212.5,c M Jansen b Vijaykumar Vyshak,5
