match_number,date,opponent,venue,result,margin
3,2010-03-13,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",lost,by 5 wickets
7,2010-03-16,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 8 wickets
12,2010-03-19,Deccan Chargers,Barabati Stadium,lost,by 6 runs
16,2010-03-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",no result,
19,2010-03-24,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",lost,by 31 runs
23,2010-03-27,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",lost,by 39 runs
27,2010-03-30,Mumbai Indians,Brabourne Stadium,lost,by 4 wickets
31,2010-04-02,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",lost,by 6 wickets
34,2010-04-04,Kolkata Knight Riders,Eden Gardens,won,by 8 wickets
38,2010-04-07,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 9 wickets
41,2010-04-09,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",won,by 6 wickets
44,2010-04-11,Delhi Daredevils,Feroz Shah Kotla,won,by 7 wickets
51,2010-04-16,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,lost,by 5 wickets
54,2010-04-18,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,lost,by 6 wickets
