innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,TM Head,75,6.5
1,Sunrisers Hyderabad,2,Ishan Kishan,75,6.6
1,Sunrisers Hyderabad,3,Abhishek Sharma,93,8.6
1,Sunrisers Hyderabad,4,Aniket Verma,112,11.1
1,Sunrisers Hyderabad,5,Nithish Kumar Reddy,147,14.5
1,Sunrisers Hyderabad,6,H Klaasen,177,18.2
1,Sunrisers Hyderabad,7,S Arora,179,19.1
1,Sunrisers Hyderabad,8,Shivang Kumar,193,20.4
1,Sunrisers Hyderabad,9,LS Livingstone,194,20.6
2,Chennai Super Kings,1,SV Samson,15,2.1
2,Chennai Super Kings,2,A Mhatre,66,5.4
2,Chennai Super Kings,3,RD Gaikwad,66,6.1
2,Chennai Super Kings,4,SN Khan,112,11.4
2,Chennai Super Kings,5,D Brevis,113,12.4
2,Chennai Super Kings,6,MW Short,148,16.4
2,Chennai Super Kings,7,S Dube,154,17.5
2,Chennai Super Kings,8,J Overton,182,20.4
