innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,SV Samson,101,54,10,6,187.04,not out,1
1,Chennai Super Kings,RD Gaikwad,22,14,3,1,157.14,c Tilak Varma b AM Ghazanfar,2
1,Chennai Super Kings,SN Khan,14,8,3,0,175.0,b MJ Santner,3
1,Chennai Super Kings,S Dube,5,8,0,0,62.5,b AM Ghazanfar,4
1,Chennai Super Kings,D Brevis,21,11,1,2,190.91,c JJ Bumrah b Ashwani Kumar,5
1,Chennai Super Kings,Kartik Sharma,18,19,0,2,94.74,c MJ Santner b JJ Bumrah,6
1,Chennai Super Kings,J Overton,15,7,2,1,214.29,c Naman Dhir b Ashwani Kumar,7
1,Chennai Super Kings,AJ Hosein,2,2,0,0,100.0,not out,8
2,Mumbai Indians,Q de Kock,7,10,0,1,70.0,b Mukesh Choudhary,1
2,Mumbai Indians,DV Malewar,0,1,0,0,0.0,c SV Samson b AJ Hosein,2
2,Mumbai Indians,Naman Dhir,0,3,0,0,0.0,b AJ Hosein,3
2,Mumbai Indians,SA Yadav,36,30,5,0,120.0,c SN Khan b AJ Hosein,4
2,Mumbai Indians,Tilak Varma,37,29,5,0,127.59,b AJ Hosein,5
2,Mumbai Indians,HH Pandya,1,2,0,0,50.0,c Mukesh Choudhary b Noor Ahmad,6
2,Mumbai Indians,SE Rutherford,0,1,0,0,0.0,c A Kamboj b Noor Ahmad,7
2,Mumbai Indians,SN Thakur,6,12,0,0,50.0,c D Brevis b A Kamboj,8
2,Mumbai Indians,Krish Bhagat,7,15,0,0,46.67,c Gurjapneet Singh b J Overton,9
2,Mumbai Indians,Ashwani Kumar,1,6,0,0,16.67,not out,10
2,Mumbai Indians,JJ Bumrah,2,5,0,0,40.0,c SV Samson b Gurjapneet Singh,11
