innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,11,1,Mumbai Indians,KA Pollard,PWH de Silva,BNJ Oxenford,,struck down,True
1,18,1,Royal Challengers Bangalore,SA Yadav,HV Patel,KN Ananthapadmanabhan,,struck down,True
2,17,3,Mumbai Indians,Anuj Rawat,JD Unadkat,KN Ananthapadmanabhan,,struck down,False
2,19,1,Royal Challengers Bangalore,V Kohli,D Brevis,KN Ananthapadmanabhan,,struck down,False
