match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
14,2012-04-12,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",31,28,3,1,110.71,b AD Mascarenhas,6
21,2012-04-17,Royal Challengers Bangalore,M Chinnaswamy Stadium,6,4,1,0,150.0,not out,7
35,2012-04-26,Deccan Chargers,Subrata Roy Sahara Stadium,22,14,0,2,157.14,not out,7
42,2012-05-01,Deccan Chargers,Barabati Stadium,7,4,0,1,175.0,c KC Sangakkara b V Pratap Singh,6
45,2012-05-03,Mumbai Indians,Subrata Roy Sahara Stadium,42,34,5,0,123.53,not out,6
47,2012-05-05,Kolkata Knight Riders,Eden Gardens,1,3,0,0,33.33,c Iqbal Abdulla b JH Kallis,5
52,2012-05-08,Rajasthan Royals,Subrata Roy Sahara Stadium,11,9,1,0,122.22,b SW Tait,7
