innings,over,ball,team,batter,bowler,umpire,type,decision
2,9,3,Sunrisers Hyderabad,A Raghuvanshi,Shivang Kumar,Vinod Seshan,wicket,struck down
2,16,5,Kolkata Knight Riders,Kartik Tyagi,JD Unadkat,MV Saidharshan Kumar,wicket,struck down
