innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Delhi Daredevils,Q de Kock,2,8,0,0,25.0,lbw b AB Dinda,1
1,Delhi Daredevils,SS Iyer,8,10,1,0,80.0,c UT Khawaja b AB Dinda,2
1,Delhi Daredevils,KK Nair,41,43,5,0,95.35,lbw b A Zampa,3
1,Delhi Daredevils,SV Samson,10,13,0,0,76.92,st MS Dhoni b A Zampa,4
1,Delhi Daredevils,RR Pant,4,9,0,0,44.44,c NLTC Perera b A Zampa,5
1,Delhi Daredevils,JP Duminy,14,14,1,0,100.0,c IK Pathan b AB Dinda,6
1,Delhi Daredevils,CH Morris,38,20,4,2,190.0,not out,7
1,Delhi Daredevils,NM Coulter-Nile,2,3,0,0,66.67,not out,8
2,Rising Pune Supergiants,AM Rahane,42,36,5,1,116.67,not out,1
2,Rising Pune Supergiants,UT Khawaja,19,13,4,0,146.15,c SS Iyer b CH Morris,2
2,Rising Pune Supergiants,GJ Bailey,8,18,1,0,44.44,not out,3
