match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
1,Gujarat Titans,DL Chahar,4.0,0,29,0,7.25,8
1,Gujarat Titans,MJ Santner,4.0,0,32,0,8.0,7
1,Gujarat Titans,RA Jadeja,4.0,0,28,1,7.0,8
1,Gujarat Titans,RS Hangargekar,4.0,0,36,3,9.0,10
1,Gujarat Titans,TU Deshpande,3.2,0,51,1,15.3,4
6,Lucknow Super Giants,BA Stokes,1.0,0,18,0,18.0,0
6,Lucknow Super Giants,DL Chahar,4.0,0,55,0,13.75,6
6,Lucknow Super Giants,MJ Santner,4.0,0,21,1,5.25,8
6,Lucknow Super Giants,MM Ali,4.0,0,26,4,6.5,10
6,Lucknow Super Giants,RA Jadeja,1.0,0,14,0,14.0,2
6,Lucknow Super Giants,RS Hangargekar,2.0,0,24,0,12.0,4
6,Lucknow Super Giants,TU Deshpande,4.0,0,45,2,11.25,7
12,Mumbai Indians,D Pretorius,4.0,0,28,0,7.0,8
12,Mumbai Indians,DL Chahar,1.0,0,10,0,10.0,2
12,Mumbai Indians,MJ Santner,4.0,0,28,2,7.0,6
12,Mumbai Indians,RA Jadeja,4.0,0,20,3,5.0,9
12,Mumbai Indians,SSB Magala,4.0,0,37,1,9.25,3
12,Mumbai Indians,TU Deshpande,3.0,0,31,2,10.33,8
17,Rajasthan Royals,Akash Singh,4.0,0,40,2,10.0,7
17,Rajasthan Royals,M Theekshana,4.0,0,42,0,10.5,4
17,Rajasthan Royals,MM Ali,2.0,0,21,1,10.5,3
17,Rajasthan Royals,RA Jadeja,4.0,0,21,2,5.25,11
17,Rajasthan Royals,SSB Magala,2.0,0,14,0,7.0,2
17,Rajasthan Royals,TU Deshpande,4.0,0,37,2,9.25,7
24,Royal Challengers Bangalore,Akash Singh,3.0,0,35,1,11.67,9
24,Royal Challengers Bangalore,M Pathirana,4.0,0,42,2,10.5,9
24,Royal Challengers Bangalore,M Theekshana,4.0,0,41,1,10.25,3
