match_number,date,opponent,venue,result,margin
2,2023-04-01,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",won,by 7 runs
8,2023-04-05,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",won,by 5 runs
14,2023-04-09,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 8 wickets
18,2023-04-13,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",lost,by 6 wickets
21,2023-04-15,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 2 wickets
27,2023-04-20,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",lost,by 24 runs
31,2023-04-22,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 13 runs
38,2023-04-28,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",lost,by 56 runs
41,2023-04-30,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 4 wickets
46,2023-05-03,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",lost,by 6 wickets
53,2023-05-08,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 5 wickets
59,2023-05-13,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 31 runs
64,2023-05-17,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",lost,by 15 runs
66,2023-05-19,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",lost,by 4 wickets
