innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,SR Tendulkar,11,2.5
1,Mumbai Indians,2,S Dhawan,29,4.4
1,Mumbai Indians,3,AM Nayar,68,9.2
1,Mumbai Indians,4,JP Duminy,77,10.3
1,Mumbai Indians,5,AT Rayudu,144,18.4
2,Royal Challengers Bangalore,1,JH Kallis,24,3.4
2,Royal Challengers Bangalore,2,KP Pietersen,47,7.1
2,Royal Challengers Bangalore,3,RV Uthappa,81,10.3
2,Royal Challengers Bangalore,4,R Dravid,81,10.4
2,Royal Challengers Bangalore,5,V Kohli,97,12.3
2,Royal Challengers Bangalore,6,MK Pandey,108,14.4
2,Royal Challengers Bangalore,7,P Kumar,118,15.6
2,Royal Challengers Bangalore,8,R Vinay Kumar,134,18.6
2,Royal Challengers Bangalore,9,DW Steyn,146,20.3
