match_number,date,opponent,venue,result,margin
5,2020-09-23,Mumbai Indians,Sheikh Zayed Stadium,lost,by 49 runs
8,2020-09-26,Sunrisers Hyderabad,Sheikh Zayed Stadium,won,by 7 wickets
12,2020-09-30,Rajasthan Royals,Dubai International Cricket Stadium,won,by 37 runs
16,2020-10-03,Delhi Capitals,Sharjah Cricket Stadium,lost,by 18 runs
21,2020-10-07,Chennai Super Kings,Sheikh Zayed Stadium,won,by 10 runs
24,2020-10-10,Kings XI Punjab,Sheikh Zayed Stadium,won,by 2 runs
28,2020-10-12,Royal Challengers Bangalore,Sharjah Cricket Stadium,lost,by 82 runs
32,2020-10-16,Mumbai Indians,Sheikh Zayed Stadium,lost,by 8 wickets
35,2020-10-18,Sunrisers Hyderabad,Sheikh Zayed Stadium,no result,
39,2020-10-21,Royal Challengers Bangalore,Sheikh Zayed Stadium,lost,by 8 wickets
42,2020-10-24,Delhi Capitals,Sheikh Zayed Stadium,won,by 59 runs
46,2020-10-26,Kings XI Punjab,Sharjah Cricket Stadium,lost,by 8 wickets
49,2020-10-29,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 6 wickets
54,2020-11-01,Rajasthan Royals,Dubai International Cricket Stadium,won,by 60 runs
