match_number,date,opponent,venue,result,margin
1,2011-04-08,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",won,by 2 runs
9,2011-04-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 6 wickets
14,2011-04-16,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",won,by 21 runs
18,2011-04-18,Kochi Tuskers Kerala,Nehru Stadium,lost,by 7 wickets
25,2011-04-22,Mumbai Indians,Wankhede Stadium,lost,by 8 runs
29,2011-04-25,Pune Warriors,"MA Chidambaram Stadium, Chepauk",won,by 25 runs
31,2011-04-27,Pune Warriors,Dr DY Patil Sports Academy,won,by 8 wickets
39,2011-05-01,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",won,by 19 runs
43,2011-05-04,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",won,by 8 wickets
48,2011-05-07,Kolkata Knight Riders,Eden Gardens,lost,by 10 runs
52,2011-05-09,Rajasthan Royals,Sawai Mansingh Stadium,won,by 63 runs
56,2011-05-12,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",won,by 18 runs
64,2011-05-18,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",won,by 11 runs
69,2011-05-22,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 8 wickets
71,2011-05-24,Royal Challengers Bangalore,Wankhede Stadium,won,by 6 wickets
74,2011-05-28,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",won,by 58 runs
