innings,over,ball,team,batter,bowler,umpire,type,decision
1,4,1,Rajasthan Royals,A Mhatre,N Burger,M Krishnadas,wicket,upheld
1,8,2,Chennai Super Kings,SN Khan,RA Jadeja,M Krishnadas,wicket,struck down
1,11,3,Chennai Super Kings,Kartik Sharma,Brijesh Sharma,HDPK Dharmasena,wicket,struck down
2,2,1,Chennai Super Kings,V Suryavanshi,KK Ahmed,HDPK Dharmasena,wicket,struck down
