innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Chennai Super Kings,1,SV Samson,6,7,RD Gaikwad,2,5,6,14,12
1,Chennai Super Kings,2,RD Gaikwad,4,6,A Mhatre,0,0,1,5,6
1,Chennai Super Kings,3,A Mhatre,0,1,MW Short,0,0,0,0,1
1,Chennai Super Kings,4,SN Khan,15,7,MW Short,2,7,2,19,14
1,Chennai Super Kings,5,Kartik Sharma,11,6,SN Khan,2,5,0,13,11
1,Chennai Super Kings,6,S Dube,6,4,Kartik Sharma,0,0,0,6,4
1,Chennai Super Kings,7,Kartik Sharma,7,9,J Overton,9,6,1,17,15
1,Chennai Super Kings,8,Noor Ahmad,1,9,J Overton,6,5,1,8,14
1,Chennai Super Kings,9,MJ Henry,5,7,J Overton,6,9,1,12,16
1,Chennai Super Kings,10,A Kamboj,7,10,J Overton,22,16,4,33,25
2,Rajasthan Royals,1,YBK Jaiswal,18,21,V Suryavanshi,52,17,5,75,38
2,Rajasthan Royals,2,Dhruv Jurel,18,9,YBK Jaiswal,6,4,0,24,13
2,Rajasthan Royals,3,R Parag,14,11,YBK Jaiswal,14,11,1,29,22
