match_number,date,opponent,venue,result,margin
4,2020-09-22,Chennai Super Kings,Sharjah Cricket Stadium,won,by 16 runs
9,2020-09-27,Kings XI Punjab,Sharjah Cricket Stadium,won,by 4 wickets
12,2020-09-30,Kolkata Knight Riders,Dubai International Cricket Stadium,lost,by 37 runs
15,2020-10-03,Royal Challengers Bangalore,Sheikh Zayed Stadium,lost,by 8 wickets
20,2020-10-06,Mumbai Indians,Sheikh Zayed Stadium,lost,by 57 runs
23,2020-10-09,Delhi Capitals,Sharjah Cricket Stadium,lost,by 46 runs
26,2020-10-11,Sunrisers Hyderabad,Dubai International Cricket Stadium,won,by 5 wickets
30,2020-10-14,Delhi Capitals,Dubai International Cricket Stadium,lost,by 13 runs
33,2020-10-17,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 7 wickets
37,2020-10-19,Chennai Super Kings,Sheikh Zayed Stadium,won,by 7 wickets
40,2020-10-22,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 8 wickets
45,2020-10-25,Mumbai Indians,Sheikh Zayed Stadium,won,by 8 wickets
50,2020-10-30,Kings XI Punjab,Sheikh Zayed Stadium,won,by 7 wickets
54,2020-11-01,Kolkata Knight Riders,Dubai International Cricket Stadium,lost,by 60 runs
