match_number,date,opponent,venue,result,margin
2,2025-03-23,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 44 runs
7,2025-03-27,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 5 wickets
10,2025-03-30,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",lost,by 7 wickets
15,2025-04-03,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 80 runs
19,2025-04-06,Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 7 wickets
27,2025-04-12,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 8 wickets
33,2025-04-17,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 4 wickets
41,2025-04-23,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 7 wickets
43,2025-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 5 wickets
51,2025-05-02,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 38 runs
55,2025-05-05,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",no result,
61,2025-05-19,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 6 wickets
65,2025-05-23,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 42 runs
68,2025-05-25,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",won,by 110 runs
