match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2011-04-10,Delhi Daredevils,Feroz Shah Kotla,3.0,0,20,0,6.67,10,0,0
8,2011-04-12,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,10,0,3.33,7,0,0
13,2011-04-15,Kochi Tuskers Kerala,Wankhede Stadium,3.0,0,15,0,5.0,8,0,0
21,2011-04-20,Pune Warriors,Wankhede Stadium,2.2,1,8,3,3.43,10,0,0
25,2011-04-22,Chennai Super Kings,Wankhede Stadium,4.0,0,40,1,10.0,11,1,0
27,2011-04-24,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,35,1,8.75,10,0,0
34,2011-04-29,Rajasthan Royals,Sawai Mansingh Stadium,4.0,1,18,2,4.5,17,0,0
40,2011-05-02,Kings XI Punjab,Wankhede Stadium,4.0,0,18,2,4.5,9,0,0
44,2011-05-04,Pune Warriors,Dr DY Patil Sports Academy,4.0,0,30,1,7.5,8,0,0
49,2011-05-07,Delhi Daredevils,Wankhede Stadium,4.0,0,29,2,7.25,11,1,0
54,2011-05-10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,21,5,5.25,13,0,0
59,2011-05-14,Deccan Chargers,Wankhede Stadium,4.0,0,37,0,9.25,8,0,0
66,2011-05-20,Rajasthan Royals,Wankhede Stadium,3.0,0,23,0,7.67,5,1,0
72,2011-05-25,Kolkata Knight Riders,Wankhede Stadium,4.0,0,27,3,6.75,11,0,0
73,2011-05-27,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",4.0,0,27,2,6.75,7,0,0
