match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2024-03-23,Sunrisers Hyderabad,"Eden Gardens, Kolkata",54,40,3,3,135.0,c M Jansen b M Markande,1
10,2024-03-29,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",30,20,2,2,150.0,c C Green b Vijaykumar Vyshak,1
16,2024-04-03,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",18,12,4,0,150.0,c T Stubbs b A Nortje,1
22,2024-04-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",0,1,0,0,0.0,c RA Jadeja b TU Deshpande,1
28,2024-04-14,Lucknow Super Giants,"Eden Gardens, Kolkata",89,47,14,3,189.36,not out,1
31,2024-04-16,Rajasthan Royals,"Eden Gardens, Kolkata",10,13,1,0,76.92,c & b Avesh Khan,1
36,2024-04-21,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",48,14,7,3,342.86,c RM Patidar b Mohammed Siraj,1
42,2024-04-26,Punjab Kings,"Eden Gardens, Kolkata",75,37,6,6,202.7,b SM Curran,1
47,2024-04-29,Delhi Capitals,"Eden Gardens, Kolkata",68,33,7,5,206.06,b AR Patel,1
51,2024-05-03,Mumbai Indians,"Wankhede Stadium, Mumbai",5,3,1,0,166.67,c Tilak Varma b N Thushara,1
54,2024-05-05,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",32,14,5,1,228.57,c KL Rahul b Naveen-ul-Haq,1
60,2024-05-11,Mumbai Indians,"Eden Gardens, Kolkata",6,5,0,1,120.0,c A Kamboj b N Thushara,1
