match_number,date,opponent,catches,stumpings,run_outs
47,2023-05-04,Kolkata Knight Riders,2,0,0
58,2023-05-13,Lucknow Super Giants,1,0,0
62,2023-05-15,Gujarat Titans,1,0,0
