innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Chennai Super Kings,1,SV Samson,17,14,RD Gaikwad,13,9,1,31,23
1,Chennai Super Kings,2,Urvil Patel,2,4,SV Samson,3,6,0,5,10
1,Chennai Super Kings,3,Kartik Sharma,9,8,Urvil Patel,4,3,3,16,11
1,Chennai Super Kings,4,D Brevis,25,16,Kartik Sharma,44,28,1,70,44
1,Chennai Super Kings,5,S Dube,2,2,Kartik Sharma,18,6,0,20,8
1,Chennai Super Kings,6,S Dube,30,14,PR Veer,13,10,2,45,24
2,Lucknow Super Giants,1,MR Marsh,90,38,JP Inglis,36,32,9,135,70
2,Lucknow Super Giants,2,N Pooran,0,1,MR Marsh,0,0,0,0,1
2,Lucknow Super Giants,3,N Pooran,2,6,Abdul Samad,7,3,0,9,9
2,Lucknow Super Giants,4,MD Choudhary,13,10,N Pooran,30,10,1,44,20
