innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Kings XI Punjab,Bipul Sharma,2.0,0,19,1,9.5,2,0,0
1,Kings XI Punjab,IK Pathan,3.0,0,16,1,5.33,7,0,0
1,Kings XI Punjab,PP Chawla,3.0,0,24,0,8.0,4,0,0
1,Kings XI Punjab,S Sreesanth,4.0,0,51,0,12.75,5,1,0
1,Kings XI Punjab,SJ Srivastava,4.0,0,39,1,9.75,6,0,0
1,Kings XI Punjab,Yuvraj Singh,4.0,0,21,2,5.25,11,0,0
2,Deccan Chargers,A Symonds,4.0,0,22,1,5.5,9,0,0
2,Deccan Chargers,Jaskaran Singh,1.0,0,12,1,12.0,3,0,0
2,Deccan Chargers,PP Ojha,4.0,0,31,1,7.75,7,0,0
2,Deccan Chargers,RG Sharma,3.0,0,19,1,6.33,6,0,0
2,Deccan Chargers,RP Singh,4.0,0,43,1,10.75,11,1,0
2,Deccan Chargers,WPUJC Vaas,4.0,0,27,2,6.75,14,1,0
