innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,5,1,Lucknow Super Giants,DJ Hooda,I Sharma,A Totre,wicket,struck down,False
2,19,4,Delhi Capitals,Arshad Khan,Mukesh Kumar,Vinod Seshan,wicket,struck down,False
