innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,J Fraser-McGurk,2,1.2
1,Delhi Capitals,2,SD Hope,94,9.3
1,Delhi Capitals,3,Abishek Porel,111,12.1
1,Delhi Capitals,4,RR Pant,158,17.2
2,Lucknow Super Giants,1,KL Rahul,7,1.5
2,Lucknow Super Giants,2,Q de Kock,24,3.5
2,Lucknow Super Giants,3,MP Stoinis,24,4.1
2,Lucknow Super Giants,4,DJ Hooda,44,5.1
2,Lucknow Super Giants,5,A Badoni,71,8.3
2,Lucknow Super Giants,6,N Pooran,101,12.1
2,Lucknow Super Giants,7,KH Pandya,134,15.4
2,Lucknow Super Giants,8,Yudhvir Singh,167,17.6
2,Lucknow Super Giants,9,Ravi Bishnoi,183,19.3
