innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,11,2,Mumbai Indians,SA Yadav,R Tewatia,Nitin Menon,,struck down,True
1,19,3,Delhi Daredevils,KH Pandya,Mohammed Shami,Nitin Menon,,upheld,False
2,20,5,Mumbai Indians,JJ Roy,Mustafizur Rahman,KN Ananthapadmanabhan,,struck down,False
