innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,SA Yadav,47,26,E Lewis,48,28,102,54
1,Mumbai Indians,2,SA Yadav,6,6,Ishan Kishan,1,2,7,8
1,Mumbai Indians,3,RG Sharma,13,11,Ishan Kishan,43,21,57,32
1,Mumbai Indians,4,KA Pollard,0,1,RG Sharma,0,0,0,1
1,Mumbai Indians,5,KH Pandya,8,6,RG Sharma,5,4,13,10
1,Mumbai Indians,6,KH Pandya,3,4,HH Pandya,2,2,6,6
1,Mumbai Indians,7,A Dananjaya,2,3,HH Pandya,0,1,2,4
1,Mumbai Indians,8,A Dananjaya,2,2,M Markande,4,3,7,5
2,Delhi Daredevils,1,JJ Roy,35,15,G Gambhir,15,16,50,31
2,Delhi Daredevils,2,JJ Roy,22,15,RR Pant,47,25,69,40
2,Delhi Daredevils,3,GJ Maxwell,13,6,JJ Roy,3,3,16,9
2,Delhi Daredevils,4,JJ Roy,31,20,SS Iyer,27,20,60,40
