innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Punjab Kings,death,40,3,30,8.0,3,13
1,Punjab Kings,middle,25,4,29,5.17,3,17
1,Punjab Kings,powerplay,36,3,26,8.31,5,11
2,Royal Challengers Bengaluru,death,37,1,21,10.57,5,3
2,Royal Challengers Bengaluru,middle,39,1,21,11.14,7,9
2,Royal Challengers Bengaluru,powerplay,30,0,18,10.0,4,5
