match_number,date,opponent,venue,result,margin
1,2010-03-12,Deccan Chargers,Dr DY Patil Sports Academy,won,by 11 runs
4,2010-03-14,Royal Challengers Bangalore,Eden Gardens,won,by 7 wickets
8,2010-03-16,Chennai Super Kings,Eden Gardens,lost,by 55 runs
13,2010-03-20,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 34 runs
17,2010-03-22,Mumbai Indians,Brabourne Stadium,lost,by 7 wickets
23,2010-03-27,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 39 runs
26,2010-03-29,Delhi Daredevils,Feroz Shah Kotla,lost,by 40 runs
30,2010-04-01,Deccan Chargers,Eden Gardens,won,by 24 runs
34,2010-04-04,Kings XI Punjab,Eden Gardens,lost,by 8 wickets
39,2010-04-07,Delhi Daredevils,Eden Gardens,won,by 14 runs
43,2010-04-10,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 7 wickets
48,2010-04-13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 9 wickets
53,2010-04-17,Rajasthan Royals,Eden Gardens,won,by 8 wickets
56,2010-04-19,Mumbai Indians,Eden Gardens,won,by 9 wickets
