match_number,date,opponent,venue,result,margin
2,2021-04-10,Delhi Capitals,"Wankhede Stadium, Mumbai",lost,by 7 wickets
8,2021-04-16,Punjab Kings,"Wankhede Stadium, Mumbai",won,by 6 wickets
12,2021-04-19,Rajasthan Royals,"Wankhede Stadium, Mumbai",won,by 45 runs
15,2021-04-21,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",won,by 18 runs
19,2021-04-25,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",won,by 69 runs
23,2021-04-28,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",won,by 7 wickets
27,2021-05-01,Mumbai Indians,"Arun Jaitley Stadium, Delhi",lost,by 4 wickets
30,2021-09-19,Mumbai Indians,Dubai International Cricket Stadium,won,by 20 runs
35,2021-09-24,Royal Challengers Bangalore,Sharjah Cricket Stadium,won,by 6 wickets
38,2021-09-26,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",won,by 2 wickets
44,2021-09-30,Sunrisers Hyderabad,Sharjah Cricket Stadium,won,by 6 wickets
47,2021-10-02,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",lost,by 7 wickets
50,2021-10-04,Delhi Capitals,Dubai International Cricket Stadium,lost,by 3 wickets
53,2021-10-07,Punjab Kings,Dubai International Cricket Stadium,lost,by 6 wickets
57,2021-10-10,Delhi Capitals,Dubai International Cricket Stadium,won,by 4 wickets
60,2021-10-15,Kolkata Knight Riders,Dubai International Cricket Stadium,won,by 27 runs
