player,team,role,matches
A Mishra,Delhi Capitals,all-rounder,11
AB de Villiers,Royal Challengers Bangalore,batter,13
AD Nath,Royal Challengers Bangalore,batter,5
AD Russell,Kolkata Knight Riders,all-rounder,13
AJ Turner,Rajasthan Royals,batter,4
AJ Tye,Kings XI Punjab,all-rounder,6
AM Rahane,Rajasthan Royals,batter,13
AR Patel,Delhi Capitals,all-rounder,14
AS Joseph,Mumbai Indians,all-rounder,3
AS Rajpoot,Kings XI Punjab,bowler,4
AS Roy,Mumbai Indians,bowler,1
AT Rayudu,Chennai Super Kings,batter,17
Abhishek Sharma,Sunrisers Hyderabad,all-rounder,3
Anmolpreet Singh,Mumbai Indians,batter,0
Arshdeep Singh,Kings XI Punjab,bowler,3
Avesh Khan,Delhi Capitals,all-rounder,1
B Kumar,Sunrisers Hyderabad,all-rounder,15
BA Stokes,Rajasthan Royals,all-rounder,9
BB Sran,Mumbai Indians,all-rounder,2
BCJ Cutting,Mumbai Indians,all-rounder,3
Basil Thampi,Sunrisers Hyderabad,all-rounder,3
C Munro,Delhi Capitals,batter,4
C de Grandhomme,Royal Challengers Bangalore,all-rounder,4
CA Ingram,Delhi Capitals,batter,12
CA Lynn,Kolkata Knight Riders,batter,13
CH Gayle,Kings XI Punjab,batter,13
CH Morris,Delhi Capitals,all-rounder,9
CR Brathwaite,Kolkata Knight Riders,all-rounder,2
CV Varun,Kings XI Punjab,bowler,1
DA Miller,Kings XI Punjab,batter,10
DA Warner,Sunrisers Hyderabad,batter,12
DJ Bravo,Chennai Super Kings,all-rounder,12
DJ Hooda,Sunrisers Hyderabad,all-rounder,7
DL Chahar,Chennai Super Kings,all-rounder,17
DR Shorey,Chennai Super Kings,batter,1
DS Kulkarni,Rajasthan Royals,all-rounder,10
DW Steyn,Royal Challengers Bangalore,bowler,2
E Lewis,Mumbai Indians,batter,3
F du Plessis,Chennai Super Kings,batter,12
GC Viljoen,Kings XI Punjab,all-rounder,6
GH Vihari,Delhi Capitals,all-rounder,2
Gurkeerat Singh,Royal Challengers Bangalore,batter,3
H Klaasen,Royal Challengers Bangalore,batter,2
HF Gurney,Kolkata Knight Riders,all-rounder,8
HH Pandya,Mumbai Indians,all-rounder,16
HV Patel,Delhi Capitals,all-rounder,2
Harbhajan Singh,Chennai Super Kings,all-rounder,11
Harpreet Brar,Kings XI Punjab,all-rounder,2
I Sharma,Delhi Capitals,all-rounder,13
IS Sodhi,Rajasthan Royals,all-rounder,2
Imran Tahir,Chennai Super Kings,bowler,17
Ishan Kishan,Mumbai Indians,batter,6
J Suchith,Delhi Capitals,all-rounder,1
J Yadav,Mumbai Indians,bowler,2
JC Archer,Rajasthan Royals,all-rounder,11
JC Buttler,Rajasthan Royals,batter,8
JD Unadkat,Rajasthan Royals,all-rounder,11
JJ Bumrah,Mumbai Indians,all-rounder,16
JL Denly,Kolkata Knight Riders,batter,1
JM Bairstow,Sunrisers Hyderabad,batter,10
JP Behrendorff,Mumbai Indians,bowler,5
K Gowtham,Rajasthan Royals,all-rounder,7
K Khejroliya,Royal Challengers Bangalore,bowler,2
K Rabada,Delhi Capitals,all-rounder,12
KA Pollard,Mumbai Indians,batter,12
KC Cariappa,Kolkata Knight Riders,all-rounder,1
KD Karthik,Kolkata Knight Riders,batter,12
KH Pandya,Mumbai Indians,all-rounder,16
KK Ahmed,Sunrisers Hyderabad,all-rounder,9
KK Nair,Kings XI Punjab,batter,1
KL Rahul,Kings XI Punjab,batter,14
KM Jadhav,Chennai Super Kings,batter,12
KMA Paul,Delhi Capitals,all-rounder,8
KS Williamson,Sunrisers Hyderabad,batter,9
KV Sharma,Chennai Super Kings,bowler,1
Kuldeep Yadav,Kolkata Knight Riders,all-rounder,9
LH Ferguson,Kolkata Knight Riders,bowler,5
LS Livingstone,Rajasthan Royals,all-rounder,4
M Ashwin,Kings XI Punjab,all-rounder,10
M Markande,Mumbai Indians,all-rounder,3
M Prasidh Krishna,Kolkata Knight Riders,all-rounder,11
M Vijay,Chennai Super Kings,batter,2
MA Agarwal,Kings XI Punjab,batter,13
MC Henriques,Kings XI Punjab,batter,0
MJ Guptill,Sunrisers Hyderabad,batter,3
MJ McClenaghan,Mumbai Indians,all-rounder,5
MJ Santner,Chennai Super Kings,all-rounder,4
MK Lomror,Rajasthan Royals,batter,1
MK Pandey,Sunrisers Hyderabad,batter,11
MM Ali,Royal Challengers Bangalore,all-rounder,11
MM Sharma,Chennai Super Kings,all-rounder,1
MP Stoinis,Royal Challengers Bangalore,all-rounder,10
MS Dhoni,Chennai Super Kings,batter,12
Mandeep Singh,Kings XI Punjab,all-rounder,12
Milind Kumar,Royal Challengers Bangalore,batter,0
Mohammad Nabi,Sunrisers Hyderabad,all-rounder,8
Mohammed Shami,Kings XI Punjab,all-rounder,14
