position,team,played,won,lost,no_result,net_run_rate,points
1,Mumbai Indians,16,10,5,0,0.431,20
2,Chennai Super Kings,17,10,7,0,0.103,20
3,Delhi Capitals,16,9,6,0,-0.004,18
4,Sunrisers Hyderabad,15,6,8,0,0.523,12
5,Kolkata Knight Riders,14,6,7,0,0.028,12
6,Kings XI Punjab,14,6,8,0,-0.251,12
7,Rajasthan Royals,14,5,8,1,-0.449,11
8,Royal Challengers Bangalore,14,5,8,1,-0.607,11
