innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,11,2,Lucknow Super Giants,Nithish Kumar Reddy,Ravi Bishnoi,Abhijit Bhattacharya,wicket,struck down,True
2,9,4,Lucknow Super Giants,N Pooran,PJ Cummins,UV Gandhe,wicket,struck down,False
