match_number,date,opponent,catches,stumpings,run_outs
5,2013-04-06,Mumbai Indians,1,0,0
11,2013-04-10,Kings XI Punjab,0,0,1
16,2013-04-13,Royal Challengers Bangalore,3,1,0
19,2013-04-15,Pune Warriors,0,1,0
26,2013-04-20,Kolkata Knight Riders,0,0,1
30,2013-04-22,Rajasthan Royals,1,0,0
34,2013-04-25,Sunrisers Hyderabad,1,0,0
42,2013-04-30,Pune Warriors,2,0,0
54,2013-05-08,Sunrisers Hyderabad,0,0,1
61,2013-05-12,Rajasthan Royals,2,0,0
64,2013-05-14,Delhi Daredevils,3,0,0
76,2013-05-26,Mumbai Indians,2,0,0
