innings,team,wicket_number,player_out,score,over
1,Lucknow Super Giants,1,MR Marsh,14,2.3
1,Lucknow Super Giants,2,RR Pant,45,5.1
1,Lucknow Super Giants,3,AK Markram,69,7.6
1,Lucknow Super Giants,4,A Badoni,74,9.2
1,Lucknow Super Giants,5,N Pooran,109,15.3
1,Lucknow Super Giants,6,Abdul Samad,118,17.2
1,Lucknow Super Giants,7,MD Choudhary,131,19.1
1,Lucknow Super Giants,8,GF Linde,157,20.4
2,Gujarat Titans,1,B Sai Sudharsan,45,6.1
2,Gujarat Titans,2,Shubman Gill,129,15.5
2,Gujarat Titans,3,JC Buttler,135,16.4
