match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2016-04-11,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,4,0,0,50.0,b DJ Bravo,4
7,2016-04-15,Delhi Daredevils,Feroz Shah Kotla,0,3,0,0,0.0,c CR Brathwaite b A Mishra,5
10,2016-04-17,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",32,14,3,2,228.57,not out,5
13,2016-04-19,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,7,0,0,57.14,c PP Chawla b SP Narine,6
18,2016-04-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,2,0,0,50.0,c Mustafizur Rahman b MC Henriques,5
21,2016-04-25,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",56,39,5,1,143.59,b JJ Bumrah,4
28,2016-05-01,Gujarat Lions,Saurashtra Cricket Association Stadium,0,1,0,0,0.0,c KD Karthik b S Kaushik,4
32,2016-05-04,Kolkata Knight Riders,Eden Gardens,68,42,6,4,161.9,lbw b PP Chawla,5
36,2016-05-07,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",16,11,0,1,145.45,b CH Morris,5
43,2016-05-13,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,1,0,0,0.0,c KA Pollard b MJ McClenaghan,4
