match_number,date,opponent,venue,result,margin
1,2018-04-07,Mumbai Indians,Wankhede Stadium,won,by 1 wickets
5,2018-04-10,Kolkata Knight Riders,MA Chidambaram Stadium,won,by 5 wickets
12,2018-04-15,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 4 runs
17,2018-04-20,Rajasthan Royals,Maharashtra Cricket Association Stadium,won,by 64 runs
20,2018-04-22,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,won,by 4 runs
24,2018-04-25,Royal Challengers Bangalore,M.Chinnaswamy Stadium,won,by 5 wickets
27,2018-04-28,Mumbai Indians,Maharashtra Cricket Association Stadium,lost,by 8 wickets
30,2018-04-30,Delhi Daredevils,Maharashtra Cricket Association Stadium,won,by 13 runs
33,2018-05-03,Kolkata Knight Riders,Eden Gardens,lost,by 6 wickets
35,2018-05-05,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,won,by 6 wickets
43,2018-05-11,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 4 wickets
46,2018-05-13,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,won,by 8 wickets
52,2018-05-18,Delhi Daredevils,Arun Jaitley Stadium,lost,by 34 runs
56,2018-05-20,Kings XI Punjab,Maharashtra Cricket Association Stadium,won,by 5 wickets
57,2018-05-22,Sunrisers Hyderabad,Wankhede Stadium,won,by 2 wickets
60,2018-05-27,Sunrisers Hyderabad,Wankhede Stadium,won,by 8 wickets
