player,cricsheet_id
A Ashish Reddy,1c2a64cd
A Deshmukh,6fda55cc
A Mishra,6b19d823
A Nand Kishore,84424f4f
A Nehra,96fd40ae
A Zampa,14f96089
AB Dinda,66b30f71
AB de Villiers,c4487b84
AD Nath,f10e94c4
AD Russell,bbd41817
AF Milne,350bb1b1
AJ Finch,b8d490fd
AK Chaudhary,fdcc6236
AM Rahane,29e95537
AP Tare,855a210c
AR Patel,2e171977
AS Rajpoot,db31895a
AT Rayudu,70d205c9
AY Dandekar,2efc430e
Amit Sharma,7ea3e0cc
Ankit Sharma,24d94623
Anureet Singh,69be866a
B Kumar,2e81a32d
BB McCullum,b8a55852
BB Sran,d8b2f218
BCJ Cutting,2e11c706
BNJ Oxenford,c1add349
Bipul Sharma,c18496e1
C Munro,af2c687b
C Shamshuddin,0f9d921b
CA Lynn,45eda7c8
CB Gaffaney,d5ac41d8
CH Gayle,db584dad
CH Morris,fb66ce1f
CJ Jordan,ffe699c0
CK Nandan,012de9c4
CR Brathwaite,e342e5fb
Chinmay Sharma,83250fea
D Wiese,aa8d28ae
DA Miller,d67d5f00
DA Warner,dcce6f09
DJ Bravo,87e562a9
DJ Hooda,73ad96ed
DL Chahar,23eeb873
DR Smith,35205dfc
DS Kulkarni,d2a989fc
DW Steyn,8fd1a8f5
EJG Morgan,d2a6c0e6
ER Dwivedi,b274dbbd
F Behardien,dce2019b
F du Plessis,3355b542
G Gambhir,bb345e0b
GB Hogg,f708a0bc
GJ Bailey,5056011d
GJ Maxwell,b681e71e
Gurkeerat Singh,6eb146d2
HDPK Dharmasena,323e4c16
HH Pandya,dbe50b21
HM Amla,e798611a
HV Patel,f986ca1a
Harbhajan Singh,8b5b6769
I Sharma,5bb1a1c4
IK Pathan,5fa06777
Imran Tahir,acee4cc4
Iqbal Abdulla,85aae393
Ishan Kishan,752f7486
J Srinath,bad31fac
J Suchith,4125d931
J Yadav,81049310
JA Morkel,c3d35165
JC Buttler,99b75528
JD Unadkat,1e66c162
JJ Bumrah,462411b3
JO Holder,0f721006
JP Duminy,2e8994e7
JP Faulkner,808f425a
JW Hastings,012829ff
K Bharatan,7e47c743
KA Pollard,a757b0d8
KC Cariappa,edb3d4f8
KD Karthik,c03f1114
KH Pandya,5b8c830e
KJ Abbott,a9da7784
KK Nair,944533a5
KL Rahul,b17e2f24
KM Jadhav,99d63244
KN Ananthapadmanabhan,3144063a
KP Pietersen,39f01cdb
KS Williamson,d027ba9f
KV Sharma,119678fd
KW Richardson,dfc4d8b5
Kuldeep Yadav,8d2c70ad
LMP Simmons,89f64c19
M Ashwin,e2db2409
M Erasmus,15d3c895
M Morkel,5bb5a915
M Nayyar,b7bccddb
M Vijay,4b57e452
M Vohra,c03e2850
MA Agarwal,00ea847a
MC Henriques,32198ae0
MG Johnson,f5180fe6
MJ Guptill,2be41edb
MJ McClenaghan,51a3c5ef
MK Pandey,93b4fc78
MM Sharma,759ac88f
MP Stoinis,d9273ee7
MR Marsh,3d8feaf8
MS Dhoni,4a8a2e3b
Mandeep Singh,c3a96caf
Mohammed Shami,8cf9814c
Mustafizur Rahman,0a8fce53
N Rana,fb2d1dda
NLTC Perera,0f12f9df
NM Coulter-Nile,56ab442f
NS Naik,aedc3b7c
NV Ojha,890946a0
Navdeep Singh,a3e3d8a4
Nitin Menon,e1d41d9e
P Kumar,e938e1bc
P Negi,f62772e5
P Sahu,9a0146b3
PA Patel,b5da6c24
PJ Sangwan,9fc0ef64
PP Chawla,98ae73b1
PSP Handscomb,ada15e88
PV Tambe,6aed7e79
Parvez Rasool,9170ff49
Q de Kock,372455c4
R Ashwin,495d42a5
R Bhatia,33a364a6
R Dhawan,26a85969
R Pandit,8a604384
R Sathish,626c5379
R Vinay Kumar,41eb4a4f
RA Jadeja,fe93fd9d
RG Sharma,740742ef
RJ Tucker,38810cfc
RP Singh,c3d1402f
RR Pant,919a3be2
RS Madugalle,766b5798
RS Mahanama,57910393
RV Uthappa,1c17e270
S Aravind,957532de
S Chaturvedi,c8ec02e1
S Dhawan,0a476045
S Gopal,7a8bd078
S Kaushik,1da489ff
S Ladda,fb693839
S Nadeem,9d80c5e1
S Ravi,9b9ee0df
SA Yadav,271f83cd
SB Jakati,c8179c68
SE Marsh,508a1ea7
SK Raina,1dc12ab9
SM Boland,d167edd3
SN Khan,f088b960
SP Narine,9d430b40
SPD Smith,30a45b23
SR Watson,4329fbb5
SS Iyer,85ec8e33
SS Tiwary,709b0bac
STR Binny,bd17b45f
SV Samson,a4cc73aa
SW Billings,c16d4035
Sachin Baby,dc9dd038
Sandeep Sharma,ce820073
Shakib Al Hasan,7dc35884
Swapnil Singh,983f2f61
T Shamsi,a03bba42
TA Boult,a818c1be
TG Southee,13c35c9e
TM Head,12b610c2
UBT Chand,0c94f480
UT Khawaja,331ea488
UT Yadav,cc1e8c68
V Kohli,ba607b88
V Shankar,0994d0ae
VA Kulkarni,8fe0c4f8
VK Sharma,a7a49df4
VR Aaron,0a3d54b9
WP Saha,fe11caa6
YC Barde,b90f3346
YK Pathan,3c6ffae8
YS Chahal,57ee1fde
Yuvraj Singh,1c914163
Z Khan,91a4a398
