player,team,role,matches
A Ashish Reddy,Sunrisers Hyderabad,all-rounder,3
A Mishra,Delhi Daredevils,all-rounder,14
A Nehra,Sunrisers Hyderabad,all-rounder,8
A Zampa,Rising Pune Supergiants,all-rounder,5
AB Dinda,Rising Pune Supergiants,bowler,9
AB de Villiers,Royal Challengers Bangalore,batter,16
AD Nath,Gujarat Lions,batter,3
AD Russell,Kolkata Knight Riders,all-rounder,12
AF Milne,Royal Challengers Bangalore,bowler,1
AJ Finch,Gujarat Lions,batter,12
AM Rahane,Rising Pune Supergiants,batter,14
AP Tare,Sunrisers Hyderabad,batter,2
AR Patel,Kings XI Punjab,all-rounder,14
AS Rajpoot,Kolkata Knight Riders,bowler,4
AT Rayudu,Mumbai Indians,batter,12
Ankit Sharma,Rising Pune Supergiants,all-rounder,3
Anureet Singh,Kings XI Punjab,bowler,2
B Kumar,Sunrisers Hyderabad,all-rounder,17
BB McCullum,Gujarat Lions,batter,16
BB Sran,Sunrisers Hyderabad,all-rounder,14
BCJ Cutting,Sunrisers Hyderabad,all-rounder,4
Bipul Sharma,Sunrisers Hyderabad,all-rounder,6
C Munro,Kolkata Knight Riders,all-rounder,4
CA Lynn,Kolkata Knight Riders,batter,2
CH Gayle,Royal Challengers Bangalore,all-rounder,10
CH Morris,Delhi Daredevils,all-rounder,12
CJ Jordan,Royal Challengers Bangalore,all-rounder,9
CR Brathwaite,Delhi Daredevils,all-rounder,8
D Wiese,Royal Challengers Bangalore,all-rounder,1
DA Miller,Kings XI Punjab,batter,13
DA Warner,Sunrisers Hyderabad,batter,17
DJ Bravo,Gujarat Lions,all-rounder,15
DJ Hooda,Sunrisers Hyderabad,all-rounder,16
DL Chahar,Rising Pune Supergiants,bowler,2
DR Smith,Gujarat Lions,all-rounder,12
DS Kulkarni,Gujarat Lions,all-rounder,14
DW Steyn,Gujarat Lions,all-rounder,1
EJG Morgan,Sunrisers Hyderabad,batter,6
ER Dwivedi,Gujarat Lions,batter,2
F Behardien,Kings XI Punjab,batter,3
F du Plessis,Rising Pune Supergiants,batter,6
G Gambhir,Kolkata Knight Riders,batter,15
GB Hogg,Kolkata Knight Riders,bowler,5
GJ Bailey,Rising Pune Supergiants,batter,5
GJ Maxwell,Kings XI Punjab,all-rounder,11
Gurkeerat Singh,Kings XI Punjab,all-rounder,6
HH Pandya,Mumbai Indians,all-rounder,11
HM Amla,Kings XI Punjab,batter,6
HV Patel,Royal Challengers Bangalore,bowler,5
Harbhajan Singh,Mumbai Indians,all-rounder,14
