position,team,played,won,lost,no_result,net_run_rate,points
1,Sunrisers Hyderabad,17,11,6,0,0.267,22
2,Royal Challengers Bangalore,16,9,7,0,0.839,18
3,Gujarat Lions,16,9,7,0,-0.395,18
4,Kolkata Knight Riders,15,8,7,0,0.135,16
5,Mumbai Indians,14,7,7,0,-0.146,14
6,Delhi Daredevils,14,7,7,0,-0.181,14
7,Rising Pune Supergiants,14,5,9,0,-0.015,10
8,Kings XI Punjab,14,4,10,0,-0.648,8
