innings,team,wicket_number,player_out,score,over
1,Gujarat Lions,1,BB McCullum,2,2.1
1,Gujarat Lions,2,AJ Finch,6,2.4
1,Gujarat Lions,3,SK Raina,9,4.4
1,Gujarat Lions,4,KD Karthik,94,14.5
1,Gujarat Lions,5,RA Jadeja,107,16.5
1,Gujarat Lions,6,DR Smith,115,17.3
1,Gujarat Lions,7,ER Dwivedi,145,19.3
1,Gujarat Lions,8,DJ Bravo,145,19.4
1,Gujarat Lions,9,P Kumar,156,20.3
1,Gujarat Lions,10,DS Kulkarni,158,20.6
2,Royal Challengers Bangalore,1,V Kohli,12,2.2
2,Royal Challengers Bangalore,2,CH Gayle,25,4.2
2,Royal Challengers Bangalore,3,KL Rahul,25,4.3
2,Royal Challengers Bangalore,4,SR Watson,28,5.5
2,Royal Challengers Bangalore,5,Sachin Baby,29,6.3
2,Royal Challengers Bangalore,6,STR Binny,68,10.4
