innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,E Lewis,54,6.3
1,Rajasthan Royals,2,SV Samson,68,8.1
1,Rajasthan Royals,3,LS Livingstone,116,12.5
1,Rajasthan Royals,4,YBK Jaiswal,136,15.2
1,Rajasthan Royals,5,R Parag,166,17.3
1,Rajasthan Royals,6,MK Lomror,169,18.1
1,Rajasthan Royals,7,R Tewatia,175,19.1
1,Rajasthan Royals,8,CH Morris,178,19.5
1,Rajasthan Royals,9,C Sakariya,185,20.5
1,Rajasthan Royals,10,Kartik Tyagi,185,20.6
2,Punjab Kings,1,KL Rahul,120,12.5
2,Punjab Kings,2,MA Agarwal,126,13.6
2,Punjab Kings,3,N Pooran,183,20.3
2,Punjab Kings,4,DJ Hooda,183,20.5
