innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,KK Nair,44,6.3
1,Rajasthan Royals,2,KK Cooper,93,11.2
1,Rajasthan Royals,3,AM Rahane,167,17.5
1,Rajasthan Royals,4,STR Binny,168,18.3
1,Rajasthan Royals,5,SV Samson,169,18.6
1,Rajasthan Royals,6,BCJ Cutting,201,20.6
2,Delhi Daredevils,1,MA Agarwal,19,3.3
2,Delhi Daredevils,2,KD Karthik,30,5.4
2,Delhi Daredevils,3,JP Duminy,43,7.5
2,Delhi Daredevils,4,KP Pietersen,48,8.4
2,Delhi Daredevils,5,LRPL Taylor,58,10.2
2,Delhi Daredevils,6,KM Jadhav,75,12.4
2,Delhi Daredevils,7,S Nadeem,86,14.2
2,Delhi Daredevils,8,Imran Tahir,91,15.4
2,Delhi Daredevils,9,R Shukla,120,19.1
