match_number,date,opponent,venue,result,margin
2,2011-04-09,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 8 wickets
7,2011-04-12,Delhi Daredevils,Sawai Mansingh Stadium,won,by 6 wickets
12,2011-04-15,Kolkata Knight Riders,Sawai Mansingh Stadium,lost,by 9 wickets
17,2011-04-17,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
23,2011-04-21,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 48 runs
28,2011-04-24,Kochi Tuskers Kerala,Sawai Mansingh Stadium,won,by 8 wickets
34,2011-04-29,Mumbai Indians,Sawai Mansingh Stadium,won,by 7 wickets
38,2011-05-01,Pune Warriors,Sawai Mansingh Stadium,won,by 6 wickets
43,2011-05-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 8 wickets
52,2011-05-09,Chennai Super Kings,Sawai Mansingh Stadium,lost,by 63 runs
55,2011-05-11,Royal Challengers Bangalore,Sawai Mansingh Stadium,lost,by 9 wickets
61,2011-05-15,Kochi Tuskers Kerala,Holkar Cricket Stadium,lost,by 8 wickets
66,2011-05-20,Mumbai Indians,Wankhede Stadium,won,by 10 wickets
