match_number,date,opponent,venue,result,margin
4,2008-04-20,Kolkata Knight Riders,Eden Gardens,lost,by 5 wickets
7,2008-04-22,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",lost,by 9 wickets
9,2008-04-24,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",lost,by 3 wickets
14,2008-04-27,Mumbai Indians,Dr DY Patil Sports Academy,won,by 10 wickets
19,2008-05-01,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
21,2008-05-03,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 3 runs
26,2008-05-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 7 wickets
30,2008-05-09,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 8 wickets
32,2008-05-11,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",lost,by 23 runs
37,2008-05-15,Delhi Daredevils,Feroz Shah Kotla,lost,by 12 runs
42,2008-05-18,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",lost,by 25 runs
48,2008-05-23,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 6 wickets
51,2008-05-25,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 wickets
54,2008-05-27,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
