innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Delhi Daredevils,Q de Kock,10,9,2,0,111.11,c G Gambhir b UT Yadav,1
1,Delhi Daredevils,M Vijay,24,20,2,1,120.0,c SP Narine b JH Kallis,2
1,Delhi Daredevils,KP Pietersen,6,12,1,0,50.0,run out (RV Uthappa),3
1,Delhi Daredevils,KD Karthik,36,22,4,1,163.64,c JH Kallis b Shakib Al Hasan,4
1,Delhi Daredevils,JP Duminy,40,28,0,3,142.86,not out,5
1,Delhi Daredevils,LR Shukla,10,14,1,0,71.43,b SP Narine,6
1,Delhi Daredevils,KM Jadhav,26,15,3,1,173.33,not out,7
2,Kolkata Knight Riders,RV Uthappa,47,34,5,1,138.24,lbw b WD Parnell,1
2,Kolkata Knight Riders,G Gambhir,69,56,5,2,123.21,c KD Karthik b WD Parnell,2
2,Kolkata Knight Riders,MK Pandey,23,14,2,0,164.29,not out,3
2,Kolkata Knight Riders,JH Kallis,10,6,2,0,166.67,not out,4
