innings,over,ball,team,player_in,player_out,reason
2,3,1,Delhi Capitals,Abishek Porel,Mukesh Kumar,impact_player
2,7,1,Royal Challengers Bengaluru,Suyash Sharma,D Padikkal,impact_player
