innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,13,1,Delhi Capitals,JM Sharma,Kuldeep Yadav,MV Saidharshan Kumar,wicket,struck down,True
1,20,1,Delhi Capitals,TH David,Mukesh Kumar,KN Ananthapadmanabhan,wicket,struck down,False
