match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2025-03-23,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,3,0,1,233.33,c JC Archer b TU Deshpande,6
7,2025-03-27,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",36,13,0,5,276.92,c DA Miller b DS Rathi,6
10,2025-03-30,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",74,41,5,6,180.49,c J Fraser-McGurk b Kuldeep Yadav,5
15,2025-04-03,Kolkata Knight Riders,"Eden Gardens, Kolkata",6,6,1,0,100.0,c VR Iyer b CV Varun,7
19,2025-04-06,Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,14,2,0,128.57,lbw b Mohammed Siraj,6
33,2025-04-17,Mumbai Indians,"Wankhede Stadium, Mumbai",18,8,0,2,225.0,not out,6
41,2025-04-23,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",12,14,1,0,85.71,c RD Rickelton b HH Pandya,6
43,2025-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",19,19,0,2,100.0,c DJ Hooda b Noor Ahmad,5
51,2025-05-02,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",3,7,0,0,42.86,c M Shahrukh Khan b Mohammed Siraj,5
61,2025-05-19,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5,2,1,0,250.0,not out,6
65,2025-05-23,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",26,9,1,3,288.89,c B Kumar b KH Pandya,5
68,2025-05-25,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",12,6,1,1,200.0,not out,5
