match_number,date,opponent,venue,result,margin
4,2022-03-28,Gujarat Titans,"Wankhede Stadium, Mumbai",lost,by 5 wickets
7,2022-03-31,Chennai Super Kings,"Brabourne Stadium, Mumbai",won,by 6 wickets
12,2022-04-04,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",won,by 12 runs
15,2022-04-07,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",won,by 6 wickets
20,2022-04-10,Rajasthan Royals,"Wankhede Stadium, Mumbai",lost,by 3 runs
26,2022-04-16,Mumbai Indians,"Brabourne Stadium, Mumbai",won,by 18 runs
31,2022-04-19,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",lost,by 18 runs
37,2022-04-24,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 36 runs
42,2022-04-29,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",won,by 20 runs
45,2022-05-01,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 6 runs
53,2022-05-07,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",won,by 75 runs
57,2022-05-10,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",lost,by 62 runs
63,2022-05-15,Rajasthan Royals,"Brabourne Stadium, Mumbai",lost,by 24 runs
66,2022-05-18,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",won,by 2 runs
72,2022-05-25,Royal Challengers Bangalore,"Eden Gardens, Kolkata",lost,by 14 runs
