match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2015-04-09,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,27,1,6.75,8,0,0
6,2015-04-12,Rajasthan Royals,Feroz Shah Kotla,4.0,0,28,4,7.0,9,1,0
10,2015-04-15,Kings XI Punjab,Maharashtra Cricket Association Stadium,4.0,0,43,3,10.75,6,0,0
13,2015-04-18,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4.0,0,35,1,8.75,6,0,0
17,2015-04-20,Kolkata Knight Riders,Feroz Shah Kotla,4.0,0,30,1,7.5,5,0,0
21,2015-04-23,Mumbai Indians,Feroz Shah Kotla,4.0,0,22,3,5.5,13,2,0
26,2015-04-26,Royal Challengers Bangalore,Feroz Shah Kotla,2.0,0,20,0,10.0,3,0,0
31,2015-05-01,Kings XI Punjab,Feroz Shah Kotla,3.0,0,36,0,12.0,5,1,0
39,2015-05-05,Mumbai Indians,Wankhede Stadium,2.3,0,27,0,10.8,4,1,0
42,2015-05-07,Kolkata Knight Riders,Eden Gardens,4.0,0,46,2,11.5,5,2,0
