match_number,date,opponent,venue,result,margin
3,2011-04-09,Kochi Tuskers Kerala,Nehru Stadium,won,by 6 wickets
8,2011-04-12,Mumbai Indians,M Chinnaswamy Stadium,lost,by 9 wickets
11,2011-04-14,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",lost,by 33 runs
14,2011-04-16,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 21 runs
24,2011-04-22,Kolkata Knight Riders,Eden Gardens,won,by 9 wickets
30,2011-04-26,Delhi Daredevils,Feroz Shah Kotla,won,by 3 wickets
35,2011-04-29,Pune Warriors,M Chinnaswamy Stadium,won,by 26 runs
47,2011-05-06,Kings XI Punjab,M Chinnaswamy Stadium,won,by 85 runs
50,2011-05-08,Kochi Tuskers Kerala,M Chinnaswamy Stadium,won,by 9 wickets
55,2011-05-11,Rajasthan Royals,Sawai Mansingh Stadium,won,by 9 wickets
58,2011-05-14,Kolkata Knight Riders,M Chinnaswamy Stadium,won,by 4 wickets
63,2011-05-17,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,lost,by 111 runs
69,2011-05-22,Chennai Super Kings,M Chinnaswamy Stadium,won,by 8 wickets
71,2011-05-24,Chennai Super Kings,Wankhede Stadium,lost,by 6 wickets
73,2011-05-27,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",won,by 43 runs
74,2011-05-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 58 runs
