match_number,date,opponent,venue,result,margin
1,2024-03-22,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 6 wickets
7,2024-03-26,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 63 runs
13,2024-03-31,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",lost,by 20 runs
18,2024-04-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 6 wickets
22,2024-04-08,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 7 wickets
29,2024-04-14,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 20 runs
34,2024-04-19,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 8 wickets
39,2024-04-23,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 6 wickets
46,2024-04-28,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 78 runs
49,2024-05-01,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 7 wickets
53,2024-05-05,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",won,by 28 runs
59,2024-05-10,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 35 runs
61,2024-05-12,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 5 wickets
68,2024-05-18,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",lost,by 27 runs
