innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Sunrisers Hyderabad,1,Abhishek Sharma,15,10,TM Head,28,12,1,44,22
1,Sunrisers Hyderabad,2,Ishan Kishan,27,16,TM Head,33,16,1,61,32
1,Sunrisers Hyderabad,3,Ishan Kishan,1,2,H Klaasen,11,8,0,12,10
1,Sunrisers Hyderabad,4,R Smaran,4,4,Ishan Kishan,1,1,0,5,5
1,Sunrisers Hyderabad,5,Aniket Verma,6,8,Ishan Kishan,5,5,2,13,13
1,Sunrisers Hyderabad,6,S Arora,2,6,Ishan Kishan,2,3,0,4,9
1,Sunrisers Hyderabad,7,PJ Cummins,3,3,Ishan Kishan,6,2,0,9,5
1,Sunrisers Hyderabad,8,PJ Cummins,7,5,Shivang Kumar,1,1,0,8,6
1,Sunrisers Hyderabad,9,Shivang Kumar,0,1,HV Patel,0,0,0,0,1
1,Sunrisers Hyderabad,10,E Malinga,2,6,HV Patel,6,5,1,9,11
2,Kolkata Knight Riders,1,AM Rahane,15,11,FH Allen,29,13,5,49,24
2,Kolkata Knight Riders,2,AM Rahane,28,25,A Raghuvanshi,52,41,4,84,66
2,Kolkata Knight Riders,3,A Raghuvanshi,7,6,RK Singh,8,4,3,18,10
2,Kolkata Knight Riders,4,C Green,3,3,RK Singh,14,7,1,18,10
