innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Sunrisers Hyderabad,7,1,Ishan Kishan,CV Varun,TM Head,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,2,Ishan Kishan,CV Varun,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,3,TM Head,CV Varun,Ishan Kishan,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,4,TM Head,CV Varun,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,5,Ishan Kishan,CV Varun,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,7,6,TM Head,CV Varun,Ishan Kishan,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,1,Ishan Kishan,VG Arora,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,2,TM Head,VG Arora,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,3,Ishan Kishan,VG Arora,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,4,TM Head,VG Arora,Ishan Kishan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,5,Ishan Kishan,VG Arora,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,8,6,TM Head,VG Arora,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,1,Ishan Kishan,CV Varun,TM Head,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,2,Ishan Kishan,CV Varun,TM Head,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,3,Ishan Kishan,CV Varun,TM Head,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,4.wides,TM Head,CV Varun,Ishan Kishan,0,1,1,False,False,wides,1,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,4,TM Head,CV Varun,Ishan Kishan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Sunrisers Hyderabad,9,5,TM Head,CV Varun,Ishan Kishan,6,0,6,True,False,,0,0,0,0,0,False,,,,middle
