match_number,date,opponent,catches,stumpings,run_outs
20,2010-03-25,Delhi Daredevils,1,0,0
43,2010-04-10,Kolkata Knight Riders,2,0,0
49,2010-04-14,Rajasthan Royals,0,0,1
