innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Sunrisers Hyderabad,1,Abhishek Sharma,35,13,TM Head,18,8,1,54,21
1,Sunrisers Hyderabad,2,Ishan Kishan,8,8,TM Head,20,11,2,30,19
1,Sunrisers Hyderabad,3,H Klaasen,36,24,Ishan Kishan,47,24,5,88,48
1,Sunrisers Hyderabad,4,Nithish Kumar Reddy,29,13,H Klaasen,33,19,1,63,32
1,Sunrisers Hyderabad,5,Nithish Kumar Reddy,29,13,H Klaasen,33,19,1,63,32
2,Punjab Kings,1,Priyansh Arya,1,3,P Simran Singh,3,3,0,4,6
2,Punjab Kings,2,P Simran Singh,0,1,C Connolly,0,0,0,0,1
2,Punjab Kings,3,SS Iyer,5,5,C Connolly,13,9,1,19,13
2,Punjab Kings,4,MP Stoinis,28,14,C Connolly,9,7,3,40,20
2,Punjab Kings,5,Suryansh Shedge,25,17,C Connolly,20,13,2,47,30
2,Punjab Kings,6,Shashank Singh,4,3,C Connolly,5,2,0,9,5
2,Punjab Kings,7,M Jansen,19,16,C Connolly,48,24,1,68,40
2,Punjab Kings,8,Vijaykumar Vyshak,1,1,C Connolly,12,4,2,15,5
