innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,PD Salt,6,1.5
1,Kolkata Knight Riders,2,SP Narine,10,2.1
1,Kolkata Knight Riders,3,SS Iyer,40,5.1
1,Kolkata Knight Riders,4,VR Iyer,77,9.1
1,Kolkata Knight Riders,5,N Rana,116,12.6
1,Kolkata Knight Riders,6,AD Russell,125,13.6
1,Kolkata Knight Riders,7,RK Singh,148,16.2
2,Mumbai Indians,1,Ishan Kishan,65,7.5
2,Mumbai Indians,2,RG Sharma,67,8.5
2,Mumbai Indians,3,SA Yadav,87,11.5
2,Mumbai Indians,4,HH Pandya,91,12.4
2,Mumbai Indians,5,TH David,92,13.1
2,Mumbai Indians,6,N Wadhera,117,14.6
2,Mumbai Indians,7,Naman Dhir,136,16.1
2,Mumbai Indians,8,Tilak Varma,137,16.3
