innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Gujarat Lions,death,41,1,30,8.2,4,8
1,Gujarat Lions,middle,59,2,54,6.56,4,17
1,Gujarat Lions,powerplay,26,3,36,4.33,3,24
2,Sunrisers Hyderabad,death,52,2,40,7.8,6,13
2,Sunrisers Hyderabad,middle,43,1,40,6.45,5,17
2,Sunrisers Hyderabad,powerplay,34,2,34,6.0,4,19
