innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Kings XI Punjab,death,51,0,30,10.2,6,6
1,Kings XI Punjab,middle,62,4,54,6.89,6,21
1,Kings XI Punjab,powerplay,60,0,36,10.0,11,16
2,Royal Challengers Bangalore,death,63,1,41,9.22,7,9
2,Royal Challengers Bangalore,middle,48,0,40,7.2,4,10
2,Royal Challengers Bangalore,powerplay,63,1,35,10.8,12,9
