innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Mumbai Indians,1,LMP Simmons,1,2,RG Sharma,7,5,8,7
1,Mumbai Indians,2,HH Pandya,9,10,LMP Simmons,7,6,21,16
1,Mumbai Indians,3,JC Buttler,0,1,HH Pandya,0,1,0,2
1,Mumbai Indians,4,AT Rayudu,1,4,JC Buttler,0,1,1,5
1,Mumbai Indians,5,AT Rayudu,2,5,KA Pollard,1,8,10,13
1,Mumbai Indians,6,S Gopal,2,16,AT Rayudu,9,7,11,23
1,Mumbai Indians,7,Harbhajan Singh,7,14,AT Rayudu,10,11,17,25
1,Mumbai Indians,8,R Vinay Kumar,12,11,Harbhajan Singh,15,10,28,21
1,Mumbai Indians,9,Harbhajan Singh,23,6,MJ McClenaghan,2,2,25,8
2,Rising Pune Supergiants,1,AM Rahane,40,26,F du Plessis,34,33,78,58
2,Rising Pune Supergiants,2,KP Pietersen,21,14,AM Rahane,26,16,48,30
