innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Mumbai Indians,death,53,2,30,10.6,9,10
1,Mumbai Indians,middle,31,2,54,3.44,2,32
1,Mumbai Indians,powerplay,37,4,36,6.17,4,24
2,Rising Pune Supergiants,death,48,1,31,9.29,5,10
2,Rising Pune Supergiants,middle,48,0,31,9.29,5,12
2,Rising Pune Supergiants,powerplay,30,0,26,6.92,6,16
