innings,team,bowler,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,Lucknow Super Giants,DJ Hooda,2.0,0,13,0,6.5,3,0,0
1,Lucknow Super Giants,MP Stoinis,3.0,0,19,1,6.33,10,1,0
1,Lucknow Super Giants,MP Yadav,3.1,0,31,1,9.79,10,2,1
1,Lucknow Super Giants,Mohsin Khan,4.0,0,36,2,9.0,10,0,0
1,Lucknow Super Giants,Naveen-ul-Haq,3.5,0,15,1,3.91,10,0,1
1,Lucknow Super Giants,Ravi Bishnoi,4.0,0,28,1,7.0,8,1,0
2,Mumbai Indians,G Coetzee,3.0,0,29,1,9.67,5,3,0
2,Mumbai Indians,HH Pandya,4.0,0,26,2,6.5,8,1,0
2,Mumbai Indians,JJ Bumrah,4.0,0,17,0,4.25,16,0,0
2,Mumbai Indians,Mohammad Nabi,1.2,0,16,1,12.0,1,0,0
2,Mumbai Indians,N Thushara,4.0,0,30,1,7.5,11,2,0
2,Mumbai Indians,PP Chawla,3.0,0,23,0,7.67,5,0,0
