innings,over,ball,team,player_in,player_out,reason
1,17,1,Lucknow Super Giants,A Badoni,A Mishra,impact_player
2,1,1,Sunrisers Hyderabad,Vivrant Sharma,Anmolpreet Singh,impact_player
